date,pump_index,std_trades,std_volume,avg_volume,std_price,avg_price,avg_price_max,hour_sin,hour_cos,minute_sin,minute_cos,gt,symbol
2020-01-25 20:00:00,0,-1.000,-1.000,0.011,-0.012,-0.002,-0.004,-0.731,0.683,0.000,1.000,0,BTC
2020-01-26 00:00:00,0,0.000,0.000,-0.000,0.001,-0.001,-0.000,0.000,1.000,0.000,1.000,0,BTC
2020-01-26 04:00:00,0,0.000,0.001,0.000,-0.004,-0.001,0.005,0.888,0.460,0.000,1.000,0,BTC
2020-01-26 08:00:00,0,0.000,0.090,-0.000,0.026,0.011,0.010,0.817,-0.577,0.000,1.000,0,BTC
2020-01-26 12:00:00,0,0.000,-0.001,-0.000,0.001,0.001,0.002,-0.136,-0.991,0.000,1.000,0,BTC
2020-01-26 16:00:00,0,0.000,-0.005,-0.000,0.081,0.008,0.014,-0.942,-0.335,0.000,1.000,1,BTC
2020-01-26 20:00:00,0,0.000,-0.002,-0.000,0.000,-0.000,0.004,-0.731,0.683,0.000,1.000,0,BTC
2020-01-27 00:00:00,0,0.000,-0.006,-0.000,0.013,0.009,0.010,0.000,1.000,0.000,1.000,0,BTC
2020-01-27 04:00:00,0,0.000,-0.004,0.000,-0.020,0.005,0.002,0.888,0.460,0.000,1.000,0,BTC
2020-01-27 08:00:00,0,0.000,0.003,-0.000,-0.032,0.004,-0.006,0.817,-0.577,0.000,1.000,0,BTC
2020-01-27 12:00:00,0,0.000,-0.001,-0.000,0.010,0.011,0.015,-0.136,-0.991,0.000,1.000,0,BTC
2020-01-27 16:00:00,0,0.000,0.004,0.000,-0.001,0.005,0.007,-0.942,-0.335,0.000,1.000,1,BTC
2020-01-27 20:00:00,0,0.000,0.013,-0.000,0.007,0.001,0.015,-0.731,0.683,0.000,1.000,1,BTC
2020-01-28 00:00:00,0,0.000,-0.006,-0.000,0.012,0.016,0.022,0.000,1.000,0.000,1.000,0,BTC
2020-01-28 04:00:00,0,0.000,-0.058,0.000,0.029,-0.006,-0.004,0.888,0.460,0.000,1.000,0,BTC
2020-01-28 08:00:00,0,0.000,0.009,-0.000,-0.047,0.006,0.005,0.817,-0.577,0.000,1.000,0,BTC
2020-01-28 12:00:00,0,0.000,-0.311,0.000,-0.138,-0.010,-0.012,-0.136,-0.991,0.000,1.000,0,BTC
2020-01-28 16:00:00,0,0.000,0.013,0.000,0.040,-0.005,-0.002,-0.942,-0.335,0.000,1.000,0,BTC
2020-01-28 20:00:00,0,0.000,0.006,0.000,0.043,0.010,0.009,-0.731,0.683,0.000,1.000,1,BTC
2020-01-29 00:00:00,0,0.000,0.072,-0.000,-0.042,0.019,0.035,0.000,1.000,0.000,1.000,0,BTC
2020-01-29 04:00:00,0,0.000,-0.005,-0.000,-0.003,0.001,0.000,0.888,0.460,0.000,1.000,0,BTC
2020-01-29 08:00:00,0,0.000,0.023,-0.000,-0.010,0.003,0.006,0.817,-0.577,0.000,1.000,1,BTC
2020-01-29 12:00:00,0,0.000,0.004,0.000,0.054,-0.004,0.001,-0.136,-0.991,0.000,1.000,0,BTC
2020-01-29 16:00:00,0,0.000,0.002,0.000,-0.004,0.002,0.008,-0.942,-0.335,0.000,1.000,0,BTC
2020-01-29 20:00:00,0,0.000,-0.007,-0.000,0.014,-0.002,-0.001,-0.731,0.683,0.000,1.000,0,BTC
2020-01-30 00:00:00,0,0.000,0.000,0.000,0.035,-0.003,-0.001,0.000,1.000,0.000,1.000,0,BTC
2020-01-30 04:00:00,0,0.000,-0.005,-0.000,0.002,0.002,0.002,0.888,0.460,0.000,1.000,0,BTC
2020-01-30 08:00:00,0,0.000,-0.149,0.000,-0.007,-0.004,-0.001,0.817,-0.577,0.000,1.000,0,BTC
2020-01-30 12:00:00,0,0.000,0.005,0.000,-0.002,0.001,-0.001,-0.136,-0.991,0.000,1.000,0,BTC
2020-01-30 16:00:00,0,0.000,0.000,0.000,-0.010,-0.001,0.001,-0.942,-0.335,0.000,1.000,1,BTC
2020-01-30 20:00:00,0,0.000,0.008,0.000,-0.012,0.004,0.006,-0.731,0.683,0.000,1.000,0,BTC
2020-01-31 00:00:00,0,0.000,0.009,0.000,0.062,-0.011,-0.014,0.000,1.000,0.000,1.000,0,BTC
2020-01-31 04:00:00,0,0.000,0.007,-0.000,0.032,-0.004,-0.002,0.888,0.460,0.000,1.000,0,BTC
2020-01-31 08:00:00,0,0.000,0.004,0.000,0.004,-0.001,-0.002,0.817,-0.577,0.000,1.000,0,BTC
2020-01-31 12:00:00,0,0.000,0.007,0.000,0.005,-0.011,-0.015,-0.136,-0.991,0.000,1.000,0,BTC
2020-01-31 16:00:00,0,0.000,0.004,0.000,-0.003,-0.001,0.003,-0.942,-0.335,0.000,1.000,0,BTC
2020-01-31 20:00:00,0,0.000,-0.050,0.000,-0.004,-0.000,-0.013,-0.731,0.683,0.000,1.000,0,BTC
2020-02-01 00:00:00,0,0.000,0.003,0.000,-0.077,-0.008,-0.016,0.000,1.000,0.000,1.000,0,BTC
2020-02-01 04:00:00,0,0.000,0.013,0.000,-0.017,0.002,-0.001,0.888,0.460,0.000,1.000,0,BTC
2020-02-01 08:00:00,0,0.000,-0.043,0.000,0.004,-0.002,-0.002,0.817,-0.577,0.000,1.000,0,BTC
2020-02-01 12:00:00,0,0.000,-0.105,0.000,0.006,-0.005,-0.006,-0.136,-0.991,0.000,1.000,0,BTC
2020-02-01 16:00:00,0,0.000,-0.003,-0.000,-0.024,0.007,0.007,-0.942,-0.335,0.000,1.000,0,BTC
2020-02-01 20:00:00,0,0.000,-0.002,-0.000,-0.065,-0.009,-0.013,-0.731,0.683,0.000,1.000,0,BTC
2020-02-02 00:00:00,0,0.000,-0.197,0.000,-0.108,-0.016,-0.039,0.000,1.000,0.000,1.000,0,BTC
2020-02-02 04:00:00,0,0.000,0.158,-0.000,0.024,0.003,0.006,0.888,0.460,0.000,1.000,0,BTC
2020-02-02 08:00:00,0,0.000,-0.121,0.000,0.015,0.001,-0.002,0.817,-0.577,0.000,1.000,0,BTC
2020-02-02 12:00:00,0,0.000,-0.010,-0.000,-0.032,0.006,-0.000,-0.136,-0.991,0.000,1.000,0,BTC
2020-02-02 16:00:00,0,0.000,0.009,0.000,-0.007,-0.003,-0.009,-0.942,-0.335,0.000,1.000,0,BTC
2020-02-02 20:00:00,0,0.000,-0.001,-0.000,0.010,-0.001,-0.002,-0.731,0.683,0.000,1.000,0,BTC
2020-02-03 00:00:00,0,0.000,0.016,-0.000,-0.040,0.004,0.024,0.000,1.000,0.000,1.000,1,BTC
2020-02-03 04:00:00,0,0.000,-0.006,-0.000,-0.025,-0.003,-0.006,0.888,0.460,0.000,1.000,0,BTC
2020-02-03 08:00:00,0,0.000,0.013,0.000,0.033,-0.005,-0.011,0.817,-0.577,0.000,1.000,0,BTC
2020-02-03 12:00:00,0,0.000,0.009,-0.000,0.002,0.000,0.001,-0.136,-0.991,0.000,1.000,0,BTC
2020-02-03 16:00:00,0,0.000,-0.001,0.000,-0.103,-0.010,-0.016,-0.942,-0.335,0.000,1.000,0,BTC
2020-02-03 20:00:00,0,0.000,0.006,0.000,-0.025,-0.004,-0.009,-0.731,0.683,0.000,1.000,0,BTC
2020-02-04 00:00:00,0,0.000,0.002,0.000,-0.068,0.007,0.007,0.000,1.000,0.000,1.000,0,BTC
2020-02-04 04:00:00,0,0.000,0.075,-0.000,-0.035,0.003,-0.000,0.888,0.460,0.000,1.000,0,BTC
2020-02-04 08:00:00,0,0.000,-0.008,-0.000,0.044,-0.003,-0.002,0.817,-0.577,0.000,1.000,0,BTC
2020-02-04 12:00:00,0,0.000,0.002,0.000,-0.028,0.002,0.004,-0.136,-0.991,0.000,1.000,0,BTC
