date,pump_index,std_trades,std_volume,avg_volume,std_price,avg_price,avg_price_max,avg_price_min,hour_sin,hour_cos,minute_sin,minute_cos,gt,symbol
2020-01-25 20:00:00,3,-1.000,-0.926,0.011,-0.003,-0.003,0.002,-0.102,-0.731,0.683,0.000,1.000,1,DGB
2020-01-26 00:00:00,3,0.000,0.000,0.000,0.047,0.012,-0.009,0.044,0.000,1.000,0.000,1.000,0,DGB
2020-01-26 04:00:00,3,0.000,0.413,-0.001,0.018,-0.009,-0.015,-0.053,0.888,0.460,0.000,1.000,1,DGB
2020-01-26 08:00:00,3,0.000,-0.000,-0.000,-0.004,0.003,0.002,-0.048,0.817,-0.577,0.000,1.000,1,DGB
2020-01-26 12:00:00,3,0.000,-0.002,-0.000,-0.014,0.019,0.019,0.022,-0.136,-0.991,0.000,1.000,0,DGB
2020-01-26 16:00:00,3,0.000,0.000,0.000,0.003,0.001,0.039,-0.024,-0.942,-0.335,0.000,1.000,1,DGB
2020-01-26 20:00:00,3,0.000,-0.002,-0.000,-0.005,-0.004,-0.005,-0.055,-0.731,0.683,0.000,1.000,1,DGB
2020-01-27 00:00:00,3,0.000,0.001,0.000,0.061,0.019,0.014,0.103,0.000,1.000,0.000,1.000,0,DGB
2020-01-27 04:00:00,3,0.000,-0.000,-0.000,0.015,-0.003,0.003,-0.068,0.888,0.460,0.000,1.000,0,DGB
2020-01-27 08:00:00,3,0.000,0.000,0.000,-0.039,0.014,0.009,0.010,0.817,-0.577,0.000,1.000,1,DGB
2020-01-27 12:00:00,3,0.000,0.000,0.000,-0.022,0.012,0.009,0.101,-0.136,-0.991,0.000,1.000,0,DGB
2020-01-27 16:00:00,3,0.000,-0.000,-0.000,-0.024,0.010,0.001,0.105,-0.942,-0.335,0.000,1.000,1,DGB
2020-01-27 20:00:00,3,0.000,0.001,0.000,-0.034,-0.005,0.008,-0.099,-0.731,0.683,0.000,1.000,1,DGB
2020-01-28 00:00:00,3,0.000,0.000,0.000,0.022,0.023,0.011,-0.059,0.000,1.000,0.000,1.000,1,DGB
2020-01-28 04:00:00,3,0.000,-0.001,-0.000,0.028,-0.009,-0.003,-0.081,0.888,0.460,0.000,1.000,1,DGB
2020-01-28 08:00:00,3,0.000,0.001,0.000,-0.020,0.005,-0.011,0.070,0.817,-0.577,0.000,1.000,1,DGB
2020-01-28 12:00:00,3,0.000,-0.261,0.001,0.018,0.002,-0.014,0.090,-0.136,-0.991,0.000,1.000,1,DGB
2020-01-28 16:00:00,3,0.000,-0.000,-0.000,0.116,-0.020,0.002,-0.143,-0.942,-0.335,0.000,1.000,1,DGB
2020-01-28 20:00:00,3,0.000,-0.001,-0.000,-0.004,-0.002,-0.026,0.183,-0.731,0.683,0.000,1.000,1,DGB
2020-01-29 00:00:00,3,0.000,0.000,0.000,0.119,0.046,0.044,0.228,0.000,1.000,0.000,1.000,1,DGB
2020-01-29 04:00:00,3,0.000,-0.000,-0.000,0.019,0.014,0.024,-0.036,0.888,0.460,0.000,1.000,1,DGB
2020-01-29 08:00:00,3,0.000,-0.000,-0.000,0.022,0.014,0.013,0.074,0.817,-0.577,0.000,1.000,1,DGB
2020-01-29 12:00:00,3,0.000,0.001,0.000,0.000,-0.003,0.010,-0.151,-0.136,-0.991,0.000,1.000,1,DGB
2020-01-29 16:00:00,3,0.000,-0.000,-0.000,0.181,-0.025,0.012,-0.332,-0.942,-0.335,0.000,1.000,1,DGB
2020-01-29 20:00:00,3,0.000,-0.000,-0.000,0.071,-0.022,-0.016,-0.118,-0.731,0.683,0.000,1.000,1,DGB
2020-01-30 00:00:00,3,0.000,-0.000,-0.000,-0.006,-0.004,0.011,-0.073,0.000,1.000,0.000,1.000,1,DGB
2020-01-30 04:00:00,3,0.000,-0.933,0.001,-0.009,0.005,0.015,0.053,0.888,0.460,0.000,1.000,1,DGB
2020-01-30 08:00:00,3,0.000,-0.002,-0.000,0.008,-0.005,0.002,0.160,0.817,-0.577,0.000,1.000,1,DGB
2020-01-30 12:00:00,3,0.000,-0.160,0.000,0.010,-0.016,0.019,-0.405,-0.136,-0.991,0.000,1.000,1,DGB
2020-01-30 16:00:00,3,0.000,-0.008,-0.000,0.009,0.005,0.002,-0.221,-0.942,-0.335,0.000,1.000,1,DGB
2020-01-30 20:00:00,3,0.000,-0.232,0.000,0.028,0.019,0.023,-0.490,-0.731,0.683,0.000,1.000,1,DGB
2020-01-31 00:00:00,3,0.000,-0.016,-0.000,0.080,-0.047,-0.025,-1.249,0.000,1.000,0.000,1.000,1,DGB
2020-01-31 04:00:00,3,0.000,0.311,-0.000,-0.014,0.012,0.010,0.762,0.888,0.460,0.000,1.000,1,DGB
2020-01-31 08:00:00,3,0.000,-0.002,-0.000,0.006,0.010,0.016,-0.963,0.817,-0.577,0.000,1.000,1,DGB
2020-01-31 12:00:00,3,0.000,0.008,0.000,0.000,-0.004,0.003,-16.592,-0.136,-0.991,0.000,1.000,1,DGB
2020-01-31 16:00:00,3,0.000,-0.003,-0.000,0.007,0.009,0.022,-5.280,-0.942,-0.335,0.000,1.000,1,DGB
2020-01-31 20:00:00,3,0.000,0.009,0.000,-0.008,-0.007,-0.018,0.069,-0.731,0.683,0.000,1.000,1,DGB
2020-02-01 00:00:00,3,0.000,0.012,0.000,-0.012,-0.021,-0.022,-0.654,0.000,1.000,0.000,1.000,1,DGB
2020-02-01 04:00:00,3,0.000,-0.119,0.000,0.002,0.019,0.027,0.215,0.888,0.460,0.000,1.000,1,DGB
2020-02-01 08:00:00,3,0.000,0.004,0.000,-0.001,0.008,0.018,0.150,0.817,-0.577,0.000,1.000,1,DGB
2020-02-01 12:00:00,3,0.000,-0.008,-0.000,-0.036,-0.023,-0.006,2.092,-0.136,-0.991,0.000,1.000,1,DGB
2020-02-01 16:00:00,3,0.000,0.011,0.000,-0.038,0.023,0.008,-0.416,-0.942,-0.335,0.000,1.000,1,DGB
2020-02-01 20:00:00,3,0.000,-0.074,0.000,0.036,0.017,0.015,0.055,-0.731,0.683,0.000,1.000,1,DGB
2020-02-02 00:00:00,3,0.000,-0.005,-0.000,-0.079,-0.036,-0.033,0.274,0.000,1.000,0.000,1.000,1,DGB
2020-02-02 04:00:00,3,0.000,-0.002,-0.000,0.049,0.013,0.003,-0.322,0.888,0.460,0.000,1.000,1,DGB
2020-02-02 08:00:00,3,0.000,0.001,0.000,-0.021,-0.013,-0.023,-0.081,0.817,-0.577,0.000,1.000,1,DGB
2020-02-02 12:00:00,3,0.000,-0.001,-0.000,0.004,0.005,0.000,-0.525,-0.136,-0.991,0.000,1.000,1,DGB
2020-02-02 16:00:00,3,0.000,0.011,0.000,-0.127,0.039,0.009,-5.331,-0.942,-0.335,0.000,1.000,1,DGB
2020-02-02 20:00:00,3,0.000,0.005,-0.000,-0.060,0.011,0.001,0.453,-0.731,0.683,0.000,1.000,0,DGB
2020-02-03 00:00:00,3,0.000,-0.006,-0.000,-0.003,-0.003,0.004,-0.131,0.000,1.000,0.000,1.000,1,DGB
2020-02-03 04:00:00,3,0.000,-0.006,-0.000,-0.008,0.007,-0.006,0.144,0.888,0.460,0.000,1.000,1,DGB
2020-02-03 08:00:00,3,0.000,0.041,-0.000,0.100,-0.018,-0.015,-0.384,0.817,-0.577,0.000,1.000,1,DGB
