date,pump_index,std_trades,std_volume,avg_volume,std_price,avg_price,avg_price_max,hour_sin,hour_cos,minute_sin,minute_cos,gt,symbol
2020-05-20 20:00:00,7,-0.292,-0.288,0.000,0.000,-0.000,0.001,-0.731,0.683,0.000,1.000,0,LTC
2020-05-21 00:00:00,7,0.000,0.000,0.000,0.000,-0.000,0.001,0.000,1.000,0.000,1.000,0,LTC
2020-05-21 04:00:00,7,0.000,0.000,0.000,-0.000,0.002,-0.002,0.888,0.460,0.000,1.000,0,LTC
2020-05-21 08:00:00,7,0.000,-0.000,-0.000,0.000,0.001,-0.000,0.817,-0.577,0.000,1.000,0,LTC
2020-05-21 12:00:00,7,0.000,0.000,0.000,0.000,0.000,-0.000,-0.136,-0.991,0.000,1.000,1,LTC
2020-05-21 16:00:00,7,0.000,0.000,-0.000,0.001,0.003,0.001,-0.942,-0.335,0.000,1.000,1,LTC
2020-05-21 20:00:00,7,0.000,-0.000,0.000,-0.000,-0.001,0.004,-0.731,0.683,0.000,1.000,0,LTC
2020-05-22 00:00:00,7,0.000,0.000,0.000,-0.000,-0.002,0.000,0.000,1.000,0.000,1.000,0,LTC
2020-05-22 04:00:00,7,0.000,-0.000,-0.000,-0.000,-0.002,0.001,0.888,0.460,0.000,1.000,1,LTC
2020-05-22 08:00:00,7,0.000,-0.000,-0.000,0.001,-0.002,0.001,0.817,-0.577,0.000,1.000,0,LTC
2020-05-22 12:00:00,7,0.000,0.000,0.000,-0.001,-0.002,0.002,-0.136,-0.991,0.000,1.000,0,LTC
2020-05-22 16:00:00,7,0.000,0.000,0.000,-0.001,-0.004,0.000,-0.942,-0.335,0.000,1.000,0,LTC
2020-05-22 20:00:00,7,0.000,0.000,0.000,-0.000,0.001,-0.000,-0.731,0.683,0.000,1.000,0,LTC
2020-05-23 00:00:00,7,0.000,0.000,0.000,-0.002,-0.003,0.000,0.000,1.000,0.000,1.000,0,LTC
2020-05-23 04:00:00,7,0.000,0.000,-0.000,-0.000,0.001,-0.001,0.888,0.460,0.000,1.000,0,LTC
2020-05-23 08:00:00,7,0.000,-0.000,-0.000,-0.001,-0.002,-0.001,0.817,-0.577,0.000,1.000,0,LTC
2020-05-23 12:00:00,7,0.000,-0.000,-0.000,-0.006,0.007,-0.008,-0.136,-0.991,0.000,1.000,0,LTC
2020-05-23 16:00:00,7,0.000,0.000,0.000,-0.000,-0.001,0.001,-0.942,-0.335,0.000,1.000,0,LTC
2020-05-23 20:00:00,7,0.000,-0.000,-0.000,-0.000,-0.000,-0.002,-0.731,0.683,0.000,1.000,0,LTC
2020-05-24 00:00:00,7,0.000,0.000,0.000,-0.000,-0.002,-0.001,0.000,1.000,0.000,1.000,0,LTC
2020-05-24 04:00:00,7,0.000,0.000,0.000,-0.000,-0.001,0.000,0.888,0.460,0.000,1.000,0,LTC
2020-05-24 08:00:00,7,0.000,-0.000,-0.000,-0.000,-0.000,-0.003,0.817,-0.577,0.000,1.000,0,LTC
