date,pump_index,std_trades,std_volume,avg_volume,std_price,avg_price,avg_price_max,avg_price_min,hour_sin,hour_cos,minute_sin,minute_cos,gt,symbol
2020-01-25 20:00:00,9,-1.000,-0.887,0.011,-0.000,0.003,-0.034,-0.001,-0.731,0.683,0.000,1.000,0,MONA
2020-01-26 00:00:00,9,0.000,0.000,0.000,-0.000,-0.000,0.002,0.005,0.000,1.000,0.000,1.000,1,MONA
2020-01-26 04:00:00,9,0.000,0.004,-0.000,-0.023,0.014,-0.019,0.001,0.888,0.460,0.000,1.000,1,MONA
2020-01-26 08:00:00,9,0.000,-0.003,-0.000,0.024,-0.032,0.090,-0.009,0.817,-0.577,0.000,1.000,1,MONA
2020-01-26 12:00:00,9,0.000,-0.109,0.001,-0.089,0.057,-0.354,-0.053,-0.136,-0.991,0.000,1.000,0,MONA
2020-01-26 16:00:00,9,0.000,-0.463,0.001,0.021,-0.015,-0.077,-0.012,-0.942,-0.335,0.000,1.000,1,MONA
2020-01-26 20:00:00,9,0.000,0.056,-0.000,-0.033,-0.030,0.084,-0.023,-0.731,0.683,0.000,1.000,1,MONA
2020-01-27 00:00:00,9,0.000,-0.461,0.000,0.043,-0.050,0.032,-0.038,0.000,1.000,0.000,1.000,1,MONA
2020-01-27 04:00:00,9,0.000,0.011,0.000,-0.097,-0.043,0.053,-0.037,0.888,0.460,0.000,1.000,1,MONA
2020-01-27 08:00:00,9,0.000,-0.013,-0.000,0.049,0.040,-0.180,0.006,0.817,-0.577,0.000,1.000,1,MONA
2020-01-27 12:00:00,9,0.000,-0.013,0.000,0.004,-0.003,-0.164,-0.005,-0.136,-0.991,0.000,1.000,1,MONA
2020-01-27 16:00:00,9,0.000,-0.002,-0.000,-0.059,-0.051,0.159,-0.035,-0.942,-0.335,0.000,1.000,1,MONA
2020-01-27 20:00:00,9,0.000,-0.004,-0.000,-0.027,0.047,0.178,0.044,-0.731,0.683,0.000,1.000,1,MONA
2020-01-28 00:00:00,9,0.000,0.001,0.000,-0.028,-0.040,-0.291,-0.092,0.000,1.000,0.000,1.000,0,MONA
2020-01-28 04:00:00,9,0.000,-0.000,-0.000,-0.001,-0.001,0.001,-0.011,0.888,0.460,0.000,1.000,0,MONA
2020-01-28 08:00:00,9,0.000,0.000,0.000,-0.097,-0.037,0.132,-0.033,0.817,-0.577,0.000,1.000,1,MONA
