data,recall,precision,F1 score
BTC_4H_24.csv,0.636,0.635,0.635
BTC_4H_30.csv,0.580,0.582,0.580
BTC_4H_720.csv,0.642,0.659,0.640
BTS_4H_24.csv,0.510,0.557,0.493
BTS_4H_30.csv,0.507,0.515,0.502
BTS_4H_720.csv,0.507,0.515,0.502
DASH_4H_24.csv,0.549,0.557,0.551
DASH_4H_30.csv,0.562,0.601,0.565
DASH_4H_720.csv,0.548,0.562,0.550
DGB_4H_24.csv,0.551,0.570,0.555
DGB_4H_30.csv,0.582,0.590,0.585
DGB_4H_720.csv,0.623,0.623,0.623
DOGE_4H_24.csv,0.505,0.506,0.505
DOGE_4H_30.csv,0.488,0.486,0.485
DOGE_4H_720.csv,0.480,0.448,0.440
ETH_4H_24.csv,0.569,0.570,0.569
ETH_4H_30.csv,0.602,0.603,0.602
ETH_4H_720.csv,0.545,0.546,0.544
IOC_4H_24.csv,0.566,0.581,0.562
IOC_4H_30.csv,0.533,0.543,0.525
IOC_4H_720.csv,0.488,0.463,0.423
LTC_4H_24.csv,0.502,0.504,0.481
LTC_4H_30.csv,0.529,0.558,0.515
LTC_4H_720.csv,0.487,0.483,0.480
MAID_4H_24.csv,0.580,0.577,0.579
MAID_4H_30.csv,0.683,0.664,0.672
MAID_4H_720.csv,0.519,0.545,0.509
MONA_4H_24.csv,0.566,0.585,0.548
MONA_4H_30.csv,0.601,0.616,0.593
MONA_4H_720.csv,0.646,0.658,0.643
NAV_4H_24.csv,0.515,0.547,0.490
NAV_4H_30.csv,0.533,0.611,0.514
NAV_4H_720.csv,0.540,0.663,0.520
SYS_4H_24.csv,0.731,0.560,0.589
SYS_4H_30.csv,0.495,0.495,0.495
SYS_4H_720.csv,0.500,0.495,0.497
VTC_4H_24.csv,0.542,0.517,0.517
VTC_4H_30.csv,0.492,0.484,0.488
VTC_4H_720.csv,0.467,0.483,0.475
XCP_4H_24.csv,0.572,0.620,0.583
XCP_4H_30.csv,0.499,0.499,0.499
XCP_4H_720.csv,0.520,0.541,0.517
XLM_4H_24.csv,0.546,0.542,0.543
XLM_4H_30.csv,0.509,0.510,0.510
XLM_4H_720.csv,0.500,0.369,0.425
XMR_4H_24.csv,0.648,0.620,0.627
XMR_4H_30.csv,0.540,0.539,0.539
XMR_4H_720.csv,0.576,0.582,0.579
XRP_4H_24.csv,0.618,0.632,0.622
XRP_4H_30.csv,0.573,0.583,0.575
XRP_4H_720.csv,0.537,0.540,0.537
all_4H_24.csv,0.534,0.545,0.534
all_4H_30.csv,0.522,0.528,0.521
all_4H_720.csv,0.513,0.535,0.487
