data,recall,precision,F1 score
BTC_4H_30.csv,0.330,0.183,0.235
BTS_4H_30.csv,0.335,0.340,0.237
DASH_4H_30.csv,0.322,0.231,0.254
DGB_4H_30.csv,0.334,0.277,0.302
DOGE_4H_30.csv,0.341,0.340,0.339
ETH_4H_30.csv,0.338,0.313,0.219
IOC_4H_30.csv,0.339,0.366,0.314
LTC_4H_30.csv,0.396,0.289,0.334
MAID_4H_30.csv,0.349,0.281,0.310
MONA_4H_30.csv,0.316,0.320,0.274
NAV_4H_30.csv,0.316,0.204,0.177
SYS_4H_30.csv,0.330,0.183,0.235
VTC_4H_30.csv,0.333,0.125,0.182
XCP_4H_30.csv,0.337,0.310,0.262
XLM_4H_30.csv,0.363,0.363,0.309
XMR_4H_30.csv,0.434,0.425,0.420
XRP_4H_30.csv,0.351,0.396,0.248
all_4H_30.csv,0.336,0.345,0.292
