data,recall,precision,F1 score
BTC_4H_24.csv,0.594,0.614,0.587
BTC_4H_30.csv,0.583,0.602,0.572
BTC_4H_720.csv,0.609,0.636,0.600
BTS_4H_24.csv,0.500,0.430,0.463
BTS_4H_30.csv,0.500,0.430,0.463
BTS_4H_720.csv,0.494,0.430,0.460
DASH_4H_24.csv,0.493,0.378,0.428
DASH_4H_30.csv,0.500,0.380,0.432
DASH_4H_720.csv,0.500,0.380,0.432
DGB_4H_24.csv,0.511,0.661,0.477
DGB_4H_30.csv,0.515,0.911,0.480
DGB_4H_720.csv,0.500,0.409,0.450
DOGE_4H_24.csv,0.482,0.438,0.432
DOGE_4H_30.csv,0.513,0.575,0.464
DOGE_4H_720.csv,0.474,0.424,0.427
ETH_4H_24.csv,0.549,0.549,0.549
ETH_4H_30.csv,0.614,0.613,0.612
ETH_4H_720.csv,0.531,0.534,0.526
IOC_4H_24.csv,0.494,0.434,0.391
IOC_4H_30.csv,0.513,0.613,0.422
IOC_4H_720.csv,0.485,0.390,0.387
LTC_4H_24.csv,0.502,0.528,0.435
LTC_4H_30.csv,0.506,0.612,0.437
LTC_4H_720.csv,0.512,0.613,0.454
MAID_4H_24.csv,0.500,0.398,0.443
MAID_4H_30.csv,0.595,0.778,0.612
MAID_4H_720.csv,0.513,0.567,0.485
MONA_4H_24.csv,0.527,0.569,0.450
MONA_4H_30.csv,0.541,0.640,0.454
MONA_4H_720.csv,0.533,0.572,0.470
NAV_4H_24.csv,0.500,0.377,0.430
NAV_4H_30.csv,0.500,0.377,0.430
NAV_4H_720.csv,0.500,0.377,0.430
SYS_4H_24.csv,0.500,0.495,0.497
SYS_4H_30.csv,0.500,0.495,0.497
SYS_4H_720.csv,0.500,0.495,0.497
VTC_4H_24.csv,0.500,0.484,0.492
VTC_4H_30.csv,0.500,0.484,0.492
VTC_4H_720.csv,0.500,0.484,0.492
XCP_4H_24.csv,0.500,0.422,0.458
XCP_4H_30.csv,0.511,0.591,0.487
XCP_4H_720.csv,0.478,0.419,0.447
XLM_4H_24.csv,0.545,0.583,0.539
XLM_4H_30.csv,0.535,0.567,0.525
XLM_4H_720.csv,0.500,0.369,0.425
XMR_4H_24.csv,0.568,0.576,0.571
XMR_4H_30.csv,0.556,0.601,0.559
XMR_4H_720.csv,0.560,0.581,0.565
XRP_4H_24.csv,0.596,0.642,0.598
XRP_4H_30.csv,0.530,0.594,0.491
XRP_4H_720.csv,0.520,0.524,0.517
all_4H_24.csv,0.501,0.870,0.428
all_4H_30.csv,0.500,0.370,0.425
all_4H_720.csv,0.499,0.370,0.425
