data,recall,precision,F1 score
BTC_4H_24.csv,0.588,0.587,0.587
BTC_4H_30.csv,0.615,0.614,0.614
BTC_4H_720.csv,0.604,0.604,0.599
BTS_4H_24.csv,0.504,0.514,0.487
BTS_4H_30.csv,0.488,0.429,0.456
BTS_4H_720.csv,0.500,0.430,0.463
DASH_4H_24.csv,0.524,0.563,0.507
DASH_4H_30.csv,0.568,0.643,0.571
DASH_4H_720.csv,0.472,0.416,0.431
DGB_4H_24.csv,0.536,0.597,0.533
DGB_4H_30.csv,0.596,0.813,0.619
DGB_4H_720.csv,0.554,0.577,0.559
DOGE_4H_24.csv,0.534,0.577,0.518
DOGE_4H_30.csv,0.569,0.586,0.572
DOGE_4H_720.csv,0.480,0.409,0.420
ETH_4H_24.csv,0.592,0.618,0.583
ETH_4H_30.csv,0.591,0.619,0.580
ETH_4H_720.csv,0.519,0.536,0.472
IOC_4H_24.csv,0.494,0.493,0.489
IOC_4H_30.csv,0.517,0.522,0.509
IOC_4H_720.csv,0.485,0.449,0.414
LTC_4H_24.csv,0.533,0.554,0.527
LTC_4H_30.csv,0.529,0.558,0.515
LTC_4H_720.csv,0.486,0.485,0.485
MAID_4H_24.csv,0.564,0.568,0.566
MAID_4H_30.csv,0.604,0.604,0.604
MAID_4H_720.csv,0.582,0.679,0.593
MONA_4H_24.csv,0.548,0.549,0.548
MONA_4H_30.csv,0.615,0.621,0.613
MONA_4H_720.csv,0.578,0.597,0.562
NAV_4H_24.csv,0.533,0.883,0.495
NAV_4H_30.csv,0.576,0.756,0.576
NAV_4H_720.csv,0.507,0.628,0.450
SYS_4H_24.csv,0.728,0.553,0.579
SYS_4H_30.csv,0.478,0.494,0.486
SYS_4H_720.csv,0.497,0.495,0.496
VTC_4H_24.csv,0.578,0.653,0.602
VTC_4H_30.csv,0.492,0.484,0.488
VTC_4H_720.csv,0.500,0.484,0.492
XCP_4H_24.csv,0.515,0.550,0.505
XCP_4H_30.csv,0.512,0.535,0.502
XCP_4H_720.csv,0.509,0.524,0.499
XLM_4H_24.csv,0.488,0.483,0.478
XLM_4H_30.csv,0.545,0.583,0.539
XLM_4H_720.csv,0.500,0.369,0.425
XMR_4H_24.csv,0.541,0.554,0.543
XMR_4H_30.csv,0.567,0.596,0.573
XMR_4H_720.csv,0.508,0.517,0.493
XRP_4H_24.csv,0.568,0.598,0.566
XRP_4H_30.csv,0.548,0.560,0.547
XRP_4H_720.csv,0.492,0.435,0.411
all_4H_24.csv,0.516,0.553,0.487
all_4H_30.csv,0.513,0.543,0.481
all_4H_720.csv,0.512,0.562,0.469
