data,recall,precision,F1 score
BTC_4H_24.csv,0.598,0.599,0.598
BTC_4H_30.csv,0.594,0.604,0.591
BTC_4H_720.csv,0.641,0.649,0.641
BTS_4H_24.csv,0.520,0.558,0.515
BTS_4H_30.csv,0.523,0.576,0.518
BTS_4H_720.csv,0.494,0.485,0.480
DASH_4H_24.csv,0.554,0.595,0.555
DASH_4H_30.csv,0.547,0.577,0.547
DASH_4H_720.csv,0.542,0.544,0.543
DGB_4H_24.csv,0.534,0.562,0.535
DGB_4H_30.csv,0.551,0.625,0.554
DGB_4H_720.csv,0.569,0.569,0.569
DOGE_4H_24.csv,0.557,0.594,0.555
DOGE_4H_30.csv,0.548,0.567,0.547
DOGE_4H_720.csv,0.470,0.418,0.425
ETH_4H_24.csv,0.610,0.625,0.607
ETH_4H_30.csv,0.606,0.612,0.606
ETH_4H_720.csv,0.528,0.529,0.527
IOC_4H_24.csv,0.530,0.536,0.526
IOC_4H_30.csv,0.493,0.492,0.485
IOC_4H_720.csv,0.516,0.522,0.503
LTC_4H_24.csv,0.489,0.477,0.464
LTC_4H_30.csv,0.562,0.592,0.563
LTC_4H_720.csv,0.487,0.483,0.480
MAID_4H_24.csv,0.557,0.553,0.555
MAID_4H_30.csv,0.639,0.612,0.620
MAID_4H_720.csv,0.542,0.565,0.543
MONA_4H_24.csv,0.556,0.559,0.547
MONA_4H_30.csv,0.613,0.614,0.612
MONA_4H_720.csv,0.589,0.606,0.578
NAV_4H_24.csv,0.511,0.579,0.466
NAV_4H_30.csv,0.540,0.616,0.527
NAV_4H_720.csv,0.537,0.634,0.517
SYS_4H_24.csv,0.481,0.494,0.488
SYS_4H_30.csv,0.484,0.494,0.489
SYS_4H_720.csv,0.500,0.495,0.497
VTC_4H_24.csv,0.497,0.484,0.490
VTC_4H_30.csv,0.492,0.484,0.488
VTC_4H_720.csv,0.497,0.484,0.490
XCP_4H_24.csv,0.553,0.652,0.561
XCP_4H_30.csv,0.506,0.514,0.496
XCP_4H_720.csv,0.500,0.499,0.490
XLM_4H_24.csv,0.517,0.518,0.517
XLM_4H_30.csv,0.509,0.512,0.504
XLM_4H_720.csv,0.500,0.369,0.425
XMR_4H_24.csv,0.523,0.523,0.523
XMR_4H_30.csv,0.545,0.549,0.546
XMR_4H_720.csv,0.573,0.577,0.575
XRP_4H_24.csv,0.560,0.579,0.559
XRP_4H_30.csv,0.533,0.536,0.533
XRP_4H_720.csv,0.541,0.545,0.541
all_4H_24.csv,0.539,0.565,0.534
all_4H_30.csv,0.523,0.540,0.513
all_4H_720.csv,0.513,0.532,0.491
