data,recall,precision,F1 score
BTC_4H_30.csv,0.340,0.518,0.251
BTS_4H_30.csv,0.333,0.173,0.228
DASH_4H_30.csv,0.329,0.145,0.201
DGB_4H_30.csv,0.332,0.251,0.232
DOGE_4H_30.csv,0.336,0.432,0.233
ETH_4H_30.csv,0.352,0.291,0.286
IOC_4H_30.csv,0.310,0.246,0.185
LTC_4H_30.csv,0.363,0.266,0.304
MAID_4H_30.csv,0.346,0.287,0.312
MONA_4H_30.csv,0.342,0.493,0.232
NAV_4H_30.csv,0.323,0.247,0.277
SYS_4H_30.csv,0.334,0.350,0.244
VTC_4H_30.csv,0.342,0.460,0.201
XCP_4H_30.csv,0.340,0.532,0.263
XLM_4H_30.csv,0.340,0.253,0.290
XMR_4H_30.csv,0.332,0.271,0.226
XRP_4H_30.csv,0.336,0.348,0.328
all_4H_30.csv,0.329,0.321,0.224
