data,recall,precision,F1 score
BTC_4H_24.csv,0.602,0.619,0.596
BTC_4H_30.csv,0.621,0.647,0.614
BTC_4H_720.csv,0.608,0.638,0.597
BTS_4H_24.csv,0.500,0.430,0.463
BTS_4H_30.csv,0.500,0.430,0.463
BTS_4H_720.csv,0.497,0.430,0.461
DASH_4H_24.csv,0.500,0.380,0.432
DASH_4H_30.csv,0.500,0.380,0.432
DASH_4H_720.csv,0.500,0.380,0.432
DGB_4H_24.csv,0.500,0.409,0.450
DGB_4H_30.csv,0.515,0.911,0.480
DGB_4H_720.csv,0.500,0.409,0.450
DOGE_4H_24.csv,0.496,0.358,0.416
DOGE_4H_30.csv,0.509,0.860,0.437
DOGE_4H_720.csv,0.478,0.430,0.430
ETH_4H_24.csv,0.526,0.561,0.467
ETH_4H_30.csv,0.530,0.547,0.501
ETH_4H_720.csv,0.526,0.528,0.521
IOC_4H_24.csv,0.507,0.812,0.398
IOC_4H_30.csv,0.500,0.310,0.383
IOC_4H_720.csv,0.494,0.434,0.391
LTC_4H_24.csv,0.506,0.612,0.437
LTC_4H_30.csv,0.506,0.612,0.437
LTC_4H_720.csv,0.512,0.613,0.454
MAID_4H_24.csv,0.483,0.396,0.435
MAID_4H_30.csv,0.497,0.398,0.442
MAID_4H_720.csv,0.510,0.543,0.482
MONA_4H_24.csv,0.596,0.596,0.593
MONA_4H_30.csv,0.639,0.639,0.636
MONA_4H_720.csv,0.544,0.595,0.483
NAV_4H_24.csv,0.500,0.377,0.430
NAV_4H_30.csv,0.500,0.377,0.430
NAV_4H_720.csv,0.500,0.377,0.430
SYS_4H_24.csv,0.500,0.495,0.497
SYS_4H_30.csv,0.500,0.495,0.497
SYS_4H_720.csv,0.500,0.495,0.497
VTC_4H_24.csv,0.500,0.484,0.492
VTC_4H_30.csv,0.500,0.484,0.492
VTC_4H_720.csv,0.500,0.484,0.492
XCP_4H_24.csv,0.500,0.422,0.458
XCP_4H_30.csv,0.500,0.422,0.458
XCP_4H_720.csv,0.478,0.419,0.447
XLM_4H_24.csv,0.496,0.368,0.423
XLM_4H_30.csv,0.500,0.369,0.425
XLM_4H_720.csv,0.500,0.369,0.425
XMR_4H_24.csv,0.497,0.390,0.437
XMR_4H_30.csv,0.500,0.390,0.438
XMR_4H_720.csv,0.557,0.574,0.561
XRP_4H_24.csv,0.530,0.594,0.491
XRP_4H_30.csv,0.525,0.676,0.464
XRP_4H_720.csv,0.524,0.530,0.521
all_4H_24.csv,0.502,0.683,0.431
all_4H_30.csv,0.500,0.620,0.426
all_4H_720.csv,0.500,0.537,0.426
