data,recall,precision,F1 score
BTC_4H_24.csv,0.607,0.606,0.604
BTC_4H_30.csv,0.618,0.616,0.614
BTC_4H_720.csv,0.593,0.594,0.593
BTS_4H_24.csv,0.504,0.514,0.487
BTS_4H_30.csv,0.514,0.532,0.508
BTS_4H_720.csv,0.500,0.430,0.463
DASH_4H_24.csv,0.543,0.594,0.536
DASH_4H_30.csv,0.551,0.586,0.551
DASH_4H_720.csv,0.486,0.377,0.425
DGB_4H_24.csv,0.556,0.606,0.561
DGB_4H_30.csv,0.572,0.693,0.583
DGB_4H_720.csv,0.525,0.580,0.514
DOGE_4H_24.csv,0.538,0.567,0.530
DOGE_4H_30.csv,0.523,0.536,0.516
DOGE_4H_720.csv,0.478,0.354,0.406
ETH_4H_24.csv,0.586,0.628,0.566
ETH_4H_30.csv,0.596,0.627,0.584
ETH_4H_720.csv,0.522,0.547,0.470
IOC_4H_24.csv,0.501,0.502,0.497
IOC_4H_30.csv,0.541,0.549,0.538
IOC_4H_720.csv,0.494,0.475,0.419
LTC_4H_24.csv,0.516,0.525,0.507
LTC_4H_30.csv,0.520,0.532,0.511
LTC_4H_720.csv,0.522,0.523,0.522
MAID_4H_24.csv,0.508,0.507,0.507
MAID_4H_30.csv,0.587,0.574,0.577
MAID_4H_720.csv,0.519,0.568,0.501
MONA_4H_24.csv,0.581,0.582,0.581
MONA_4H_30.csv,0.652,0.661,0.650
MONA_4H_720.csv,0.543,0.548,0.533
NAV_4H_24.csv,0.526,0.682,0.489
NAV_4H_30.csv,0.580,0.793,0.580
NAV_4H_720.csv,0.529,0.758,0.492
SYS_4H_24.csv,0.476,0.494,0.485
SYS_4H_30.csv,0.481,0.494,0.488
SYS_4H_720.csv,0.497,0.495,0.496
VTC_4H_24.csv,0.486,0.484,0.485
VTC_4H_30.csv,0.492,0.484,0.488
VTC_4H_720.csv,0.500,0.484,0.492
XCP_4H_24.csv,0.545,0.729,0.547
XCP_4H_30.csv,0.519,0.568,0.508
XCP_4H_720.csv,0.534,0.561,0.536
XLM_4H_24.csv,0.488,0.483,0.478
XLM_4H_30.csv,0.565,0.613,0.566
XLM_4H_720.csv,0.500,0.369,0.425
XMR_4H_24.csv,0.524,0.528,0.525
XMR_4H_30.csv,0.538,0.548,0.539
XMR_4H_720.csv,0.521,0.727,0.485
XRP_4H_24.csv,0.580,0.616,0.580
XRP_4H_30.csv,0.576,0.608,0.575
XRP_4H_720.csv,0.492,0.435,0.411
all_4H_24.csv,0.513,0.549,0.477
all_4H_30.csv,0.513,0.551,0.479
all_4H_720.csv,0.504,0.533,0.451
