data,recall,precision,F1 score
BTC_4H_30.csv,0.349,0.852,0.270
BTS_4H_30.csv,0.335,0.340,0.237
DASH_4H_30.csv,0.329,0.145,0.201
DGB_4H_30.csv,0.353,0.669,0.272
DOGE_4H_30.csv,0.374,0.490,0.319
ETH_4H_30.csv,0.336,0.425,0.265
IOC_4H_30.csv,0.324,0.258,0.202
LTC_4H_30.csv,0.430,0.307,0.355
MAID_4H_30.csv,0.334,0.307,0.214
MONA_4H_30.csv,0.333,0.159,0.215
NAV_4H_30.csv,0.377,0.286,0.320
SYS_4H_30.csv,0.330,0.183,0.235
VTC_4H_30.csv,0.339,0.364,0.210
XCP_4H_30.csv,0.340,0.532,0.263
XLM_4H_30.csv,0.339,0.269,0.236
XMR_4H_30.csv,0.333,0.160,0.217
XRP_4H_30.csv,0.349,0.394,0.248
all_4H_30.csv,0.332,0.364,0.221
