data,recall,precision,F1 score
BTC_4H_24.csv,0.607,0.641,0.595
BTC_4H_30.csv,0.555,0.579,0.533
BTC_4H_720.csv,0.605,0.627,0.598
BTS_4H_24.csv,0.500,0.430,0.463
BTS_4H_30.csv,0.500,0.430,0.463
BTS_4H_720.csv,0.500,0.430,0.463
DASH_4H_24.csv,0.500,0.380,0.432
DASH_4H_30.csv,0.511,0.882,0.455
DASH_4H_720.csv,0.500,0.380,0.432
DGB_4H_24.csv,0.500,0.409,0.450
DGB_4H_30.csv,0.500,0.409,0.450
DGB_4H_720.csv,0.500,0.409,0.450
DOGE_4H_24.csv,0.495,0.489,0.467
DOGE_4H_30.csv,0.504,0.509,0.481
DOGE_4H_720.csv,0.500,0.358,0.417
ETH_4H_24.csv,0.605,0.619,0.603
ETH_4H_30.csv,0.570,0.573,0.569
ETH_4H_720.csv,0.500,0.281,0.360
IOC_4H_24.csv,0.500,0.310,0.383
IOC_4H_30.csv,0.500,0.310,0.383
IOC_4H_720.csv,0.500,0.310,0.383
LTC_4H_24.csv,0.506,0.612,0.437
LTC_4H_30.csv,0.508,0.563,0.451
LTC_4H_720.csv,0.504,0.529,0.449
MAID_4H_24.csv,0.500,0.398,0.443
MAID_4H_30.csv,0.500,0.398,0.443
MAID_4H_720.csv,0.500,0.398,0.443
MONA_4H_24.csv,0.548,0.625,0.476
MONA_4H_30.csv,0.567,0.621,0.521
MONA_4H_720.csv,0.597,0.635,0.574
NAV_4H_24.csv,0.500,0.377,0.430
NAV_4H_30.csv,0.500,0.377,0.430
NAV_4H_720.csv,0.500,0.377,0.430
SYS_4H_24.csv,0.500,0.495,0.497
SYS_4H_30.csv,0.500,0.495,0.497
SYS_4H_720.csv,0.500,0.495,0.497
VTC_4H_24.csv,0.500,0.484,0.492
VTC_4H_30.csv,0.500,0.484,0.492
VTC_4H_720.csv,0.500,0.484,0.492
XCP_4H_24.csv,0.581,0.589,0.584
XCP_4H_30.csv,0.559,0.553,0.555
XCP_4H_720.csv,0.503,0.506,0.493
XLM_4H_24.csv,0.500,0.369,0.425
XLM_4H_30.csv,0.500,0.369,0.425
XLM_4H_720.csv,0.500,0.369,0.425
XMR_4H_24.csv,0.500,0.390,0.438
XMR_4H_30.csv,0.500,0.390,0.438
XMR_4H_720.csv,0.500,0.390,0.438
XRP_4H_24.csv,0.586,0.588,0.587
XRP_4H_30.csv,0.619,0.613,0.615
XRP_4H_720.csv,0.500,0.337,0.403
all_4H_24.csv,0.500,0.370,0.425
all_4H_30.csv,0.500,0.370,0.425
all_4H_720.csv,0.512,0.688,0.453
